"","net_i","num_ill","mean","median","low_95","up_95","up_50","low_50"
"1",1,"20",0.00294729204761905,0.00255855,0.00029328925,0.007559095,0.00424025,0.00121475
"2",1,"40",0.00321091597619048,0.00293195,0.00028832825,0.0075878775,0.00479745,0.0013235
"3",1,"60",0.0033715794047619,0.00305885,0.000312256,0.0076644475,0.00496215,0.001536275
"4",1,"80",0.00344448985714286,0.0031585,0.00032116875,0.0078131825,0.005038675,0.001615025
"5",1,"100",0.00350676835714286,0.0031882,0.000364302,0.00817052749999999,0.00507255,0.0016665
"6",1,"150",0.00361514528571429,0.00326705,0.0003771145,0.00863946499999999,0.005186525,0.00167525
"7",1,"200",0.00368913773809524,0.0033168,0.000376242,0.0087490575,0.005230675,0.001719775
"8",1,"250",0.00373152349285714,0.00338095,0.00039634275,0.00880473749999999,0.0052791,0.001740275
"9",1,"300",0.00377164802857143,0.00343795,0.00040594675,0.0088896725,0.005385625,0.00175975
"10",6,"20",0.0017400050952381,0.00175195,0.001046625,0.002333735,0.001977975,0.001514675
"11",6,"40",0.00167549519047619,0.00170165,0.001072555,0.002236145,0.001891525,0.001473525
"12",6,"60",0.00166250688095238,0.00169035,0.00102533,0.0022146,0.00188235,0.0014531
"13",6,"80",0.00166230373809524,0.0016933,0.0010110475,0.002166255,0.001891875,0.00145205
"14",6,"100",0.00165999785714286,0.00170375,0.000978713,0.0021898175,0.001868075,0.001448575
"15",6,"150",0.00164804361904762,0.0016819,0.001034845,0.0021812025,0.001870625,0.001433475
"16",6,"200",0.0016471095,0.001689,0.0010185025,0.0021785275,0.00186075,0.001446925
"17",6,"250",0.00164223380952381,0.0016714,0.00099494475,0.0021460975,0.001866125,0.001440975
"18",6,"300",0.00163920352380952,0.0016622,0.00100868,0.0021518625,0.001851525,0.00143915
"19",5,"20",0.0016240440952381,0.0015634,0.00087586075,0.0027402075,0.00187255,0.00130655
"20",5,"40",0.00157553178571429,0.0015152,0.001019575,0.002488475,0.001729025,0.001309425
"21",5,"60",0.0015676474047619,0.00149875,0.0010624225,0.002451795,0.001698575,0.0013368
"22",5,"80",0.00156673333333333,0.00149025,0.001140145,0.002412865,0.0016766,0.0013554
"23",5,"100",0.00156953452380952,0.0014977,0.0011475275,0.0024301675,0.0016637,0.001363075
"24",5,"150",0.00155983595238095,0.00148625,0.0011783375,0.0024203275,0.001631975,0.001363625
"25",5,"200",0.00156383619047619,0.0014889,0.0012096975,0.0023683675,0.00163025,0.001380025
"26",5,"250",0.00156158095238095,0.0014854,0.0012220225,0.002363735,0.0016136,0.001368825
"27",5,"300",0.00156432428571429,0.0014911,0.001230875,0.0023490725,0.001614225,0.001377525
"28",3,"20",0.0033334649,0.00270385,0.00016803075,0.0089108475,0.005192325,0.001151675
"29",3,"40",0.00377171378333333,0.00317365,0.00018331675,0.01013195,0.005742125,0.0013414
"30",3,"60",0.00400609012857143,0.00340125,0.00025043225,0.010738475,0.0062147,0.001487525
"31",3,"80",0.00411965777380952,0.00350875,0.0002493415,0.01111935,0.00643775,0.00161235
"32",3,"100",0.00421535547380952,0.0035747,0.00026549675,0.01115865,0.00669155,0.00162705
"33",3,"150",0.00439046735,0.0036471,0.00030721,0.011554525,0.00675405,0.001661
"34",3,"200",0.00448855365714286,0.0036818,0.000328741,0.011924125,0.00688825,0.001728225
"35",3,"250",0.00454402205714286,0.00378595,0.000305063,0.011869675,0.006868225,0.0018024
"36",3,"300",0.00459514762619048,0.0039189,0.0003259505,0.0121035,0.007065125,0.001814875
"37",2,"20",0.0056316390952381,0.0055007,0.000255226,0.01351235,0.0085869,0.002109425
"38",2,"40",0.0056841568547619,0.00558525,0.0002265275,0.013890775,0.008639625,0.002145725
"39",2,"60",0.00575130393571429,0.00566995,0.00019017925,0.013628175,0.008881825,0.002226375
"40",2,"80",0.00580089363333333,0.00568305,0.00017748025,0.01380555,0.0089333,0.0022451
"41",2,"100",0.00581747730238095,0.00563585,0.00018150625,0.01363705,0.0090064,0.002332175
"42",2,"150",0.0058739586547619,0.0057632,0.0001737775,0.01373905,0.00922585,0.00234735
"43",2,"200",0.00588696848095238,0.0056848,0.00018946475,0.013968625,0.0092555,0.00231465
"44",2,"250",0.00592355454047619,0.0057921,0.0001904045,0.013577675,0.0092786,0.002330275
"45",2,"300",0.00593968146666667,0.00579515,0.0001988565,0.0138607,0.0092509,0.00233335
"46",4,"20",0.00193969914285714,0.0018372,0.0010884775,0.0033264125,0.002281425,0.0015199
"47",4,"40",0.00190342523809524,0.00178965,0.00121005,0.0031046475,0.002143475,0.0015465
"48",4,"60",0.00187980547619048,0.00178045,0.001211935,0.00305286,0.00202935,0.00156405
"49",4,"80",0.00185976821428571,0.0017337,0.001255425,0.0030520575,0.00198735,0.001563175
"50",4,"100",0.00185927880952381,0.00173155,0.00130475,0.002987775,0.001977425,0.001565525
"51",4,"150",0.00185331476190476,0.00172305,0.0013301975,0.002996045,0.00193355,0.001577975
"52",4,"200",0.00184316238095238,0.00169005,0.001372335,0.0029670775,0.001931075,0.001571
"53",4,"250",0.00185090404761905,0.0017107,0.001400845,0.00300309,0.001911875,0.001585075
"54",4,"300",0.0018504680952381,0.0017035,0.0014065825,0.002991345,0.001911025,0.001581175
