week,19,20,21,22,23,24,25,26,27,28,29
NA,0,0,1,5,0,3,0,1,1,0,0
LK Ahrweiler,0,0,0,0,1,0,0,0,0,0,0
LK Alb-Donau-Kreis,0,1,1,0,0,0,1,0,0,0,0
LK Altenkirchen,0,0,0,1,0,0,0,0,0,0,0
LK Altmarkkreis Salzwedel,0,0,2,1,1,0,0,0,0,0,0
LK Alzey-Worms,0,0,0,1,0,0,0,0,0,0,0
LK Ammerland,0,0,1,0,0,1,0,0,0,0,0
LK Anhalt-Bitterfeld,0,0,0,2,1,1,0,0,0,0,0
LK Ansbach,0,0,0,0,1,2,1,2,1,0,0
LK Aschaffenburg,0,1,0,0,0,0,0,0,0,0,0
LK Aurich,0,0,1,3,2,1,1,1,1,0,0
LK Bad Doberan,0,0,4,10,0,0,2,0,0,0,0
LK Bad Kissingen,0,0,0,1,0,0,0,0,0,0,0
LK Bad Kreuznach,0,0,0,2,0,0,0,0,0,0,0
LK Bad Tölz-Wolfratshausen,0,0,0,1,0,0,1,0,2,1,0
LK Barnim,0,0,0,0,1,1,0,1,0,0,0
LK Bautzen,1,0,1,2,1,0,0,0,0,0,0
LK Bayreuth,0,0,0,0,0,0,0,0,1,0,0
LK Bergstraße,0,0,1,0,2,0,0,0,0,0,0
LK Bernkastel-Wittlich,0,0,0,0,1,1,0,0,0,0,0
LK Biberach,0,0,1,2,2,0,1,0,0,0,0
LK Birkenfeld,0,1,0,0,0,0,0,1,0,0,0
LK Bitburg-Prüm,0,0,1,0,0,0,0,0,0,0,1
LK Böblingen,0,0,2,1,1,0,0,0,0,1,0
LK Bodenseekreis,0,0,1,0,1,1,1,1,1,1,0
LK Börde,0,0,0,1,0,0,0,0,1,0,0
LK Borken,0,0,0,0,2,0,1,1,2,0,1
LK Breisgau-Hochschwarzwald,0,0,0,0,0,1,0,0,0,0,0
LK Burgenlandkreis,0,0,1,0,0,0,0,0,0,0,0
LK Calw,0,0,0,0,0,1,0,1,1,0,0
LK Celle,0,0,3,3,3,2,1,0,0,0,0
LK Cham,0,1,0,0,0,0,0,1,0,0,0
LK Cloppenburg,0,0,2,0,1,0,1,0,0,0,0
LK Coburg,0,0,0,0,0,0,0,1,0,0,0
LK Coesfeld,0,1,1,0,2,1,0,0,0,0,0
LK Cuxhaven,1,4,57,33,13,3,1,2,2,0,0
LK Dachau,0,0,0,0,0,0,0,1,0,0,0
LK Deggendorf,0,0,0,0,1,1,0,0,0,0,0
LK Demmin,0,0,0,2,0,0,0,0,0,0,0
LK Diepholz,0,0,4,7,2,0,0,1,0,0,0
LK Dillingen a.d.Donau,0,0,0,1,0,1,0,0,0,0,0
LK Dingolfing-Landau,0,0,0,0,1,0,1,1,0,0,0
LK Dithmarschen,0,0,1,5,2,0,0,1,0,0,0
LK Donau-Ries,0,0,0,0,2,2,1,0,0,0,0
LK Eichsfeld,0,0,1,0,1,1,0,1,0,0,0
LK Eichstätt,0,0,0,1,1,0,1,0,1,0,0
LK Emmendingen,0,0,0,0,0,1,0,0,1,0,0
LK Emsland,0,0,3,1,1,1,0,0,1,0,0
LK Ennepe-Ruhr-Kreis,1,0,0,0,2,3,1,0,0,1,0
LK Enzkreis,0,0,0,1,0,0,0,0,0,0,0
LK Erding,0,0,0,0,1,1,0,0,1,0,0
LK Erzgebirgskreis,0,0,1,0,0,0,0,0,0,0,0
LK Esslingen,0,0,0,1,1,1,0,1,0,0,0
LK Euskirchen,0,1,0,0,0,0,0,1,1,1,0
LK Forchheim,0,0,0,0,0,0,0,1,3,0,0
LK Freising,0,0,0,2,0,0,1,0,1,0,0
LK Friesland,0,1,10,7,2,2,1,0,2,1,0
LK Fulda,0,0,1,0,0,1,1,0,1,0,0
LK Germersheim,0,0,0,0,1,1,0,0,0,1,0
LK Gießen,0,0,0,1,2,0,0,2,2,0,0
LK Gifhorn,0,0,0,1,4,0,0,0,0,0,0
LK Görlitz,1,0,0,0,0,1,0,0,0,0,0
LK Goslar,0,0,2,4,4,4,1,0,0,0,0
LK Gotha,0,0,0,2,0,0,0,1,0,0,0
LK Göttingen,0,0,2,2,11,15,6,6,1,1,0
LK Greiz,0,0,0,1,0,0,0,0,0,0,0
LK Güstrow,0,0,2,2,4,0,0,1,0,0,0
LK Gütersloh,0,0,8,5,2,1,1,0,1,0,0
LK Hameln-Pyrmont,0,0,1,2,0,0,1,1,1,1,1
LK Harburg,0,1,9,10,6,2,2,1,0,1,0
LK Harz,0,0,0,2,0,0,0,0,0,0,0
LK Haßberge,0,0,0,0,0,1,0,0,0,0,0
LK Heidenheim,0,0,0,1,1,0,0,1,0,0,0
LK Heilbronn,0,0,0,1,1,0,0,0,0,0,0
LK Heinsberg,0,0,0,0,0,0,0,0,1,0,0
LK Helmstedt,0,0,0,0,0,0,0,0,1,0,0
LK Herford,0,0,5,2,0,0,0,0,0,0,0
LK Hersfeld-Rotenburg,0,0,0,1,0,3,0,0,0,0,0
LK Herzogtum Lauenburg,0,1,54,42,4,3,3,1,1,0,0
LK Hildburghausen,0,0,1,0,0,0,1,0,0,0,0
LK Hildesheim,1,0,1,4,0,3,0,1,1,2,1
LK Hochsauerlandkreis,0,0,2,1,0,0,0,0,1,0,0
LK Hof,0,0,0,0,0,1,0,0,0,0,0
LK Holzminden,0,0,0,2,2,0,0,0,0,1,0
LK Höxter,0,0,3,2,0,0,1,0,0,0,0
LK Ilm-Kreis,0,0,0,0,1,1,0,0,0,0,0
LK Kaiserslautern,1,0,0,0,0,0,0,0,0,0,0
LK Karlsruhe,0,0,0,0,1,1,1,0,0,0,0
LK Kassel,0,0,0,0,1,0,1,1,1,0,0
LK Kelheim,0,0,0,1,0,0,0,1,0,0,0
LK Kleve,0,0,0,0,0,0,0,0,1,0,1
LK Konstanz,0,0,0,2,2,0,1,0,0,0,0
LK Kronach,0,0,0,0,0,0,1,0,0,0,0
LK Kyffhäuserkreis,0,0,0,0,0,0,1,0,0,0,0
LK Lahn-Dill-Kreis,0,0,0,0,0,2,1,0,0,0,0
LK Landshut,0,0,0,1,0,0,0,0,0,0,0
LK Leer,0,0,1,4,2,0,1,2,0,0,1
LK Limburg-Weilburg,0,1,0,0,0,0,0,1,0,0,0
LK Lindau,0,0,1,1,0,0,0,0,0,0,0
LK Lippe,0,0,1,0,1,2,1,0,3,0,0
LK Lörrach,0,0,0,0,1,0,0,0,0,0,0
LK Lüchow-Dannenberg,0,0,0,1,0,1,0,0,0,0,0
LK Ludwigsburg,0,0,0,1,0,1,0,1,0,0,0
LK Ludwigslust,0,2,11,16,2,2,1,0,1,0,0
LK Lüneburg,0,0,44,19,0,2,3,2,0,0,0
LK Main-Kinzig-Kreis,0,0,0,0,0,1,1,0,0,0,0
LK Main-Taunus-Kreis,0,0,2,0,0,0,0,2,1,0,0
LK Mainz-Bingen,0,0,0,0,0,0,0,0,0,1,0
LK Marburg-Biedenkopf,0,0,1,1,1,1,0,0,1,0,0
LK Märkischer Kreis,0,0,0,0,4,1,0,0,0,0,0
LK Mayen-Koblenz,1,0,0,0,0,1,0,0,0,0,0
LK Mecklenburg-Strelitz,0,0,2,1,0,0,0,1,0,0,0
LK Meißen,0,1,0,0,1,0,0,0,0,0,0
LK Mettmann,0,0,0,0,0,0,0,0,1,0,0
LK Miesbach,0,0,0,0,0,1,0,0,1,0,0
LK Minden-Lübbecke,0,0,0,0,0,1,0,0,0,0,0
LK Mittelsachsen,0,0,0,0,0,0,0,0,1,0,0
LK München,0,1,0,2,0,0,1,0,2,0,0
LK Müritz,0,0,7,2,0,0,0,0,0,0,0
LK Neu-Ulm,0,0,0,1,0,0,0,0,0,0,0
LK Neunkirchen,0,0,1,0,0,0,0,0,0,0,0
LK Neustadt/Aisch-Bad Windsheim,0,0,0,0,0,1,2,0,0,0,0
LK Nienburg (Weser),0,0,1,2,0,1,0,1,0,0,0
LK Nordfriesland,0,1,49,45,17,6,1,2,0,0,0
LK Nordsachsen,0,1,0,0,0,0,0,0,0,0,0
LK Nordvorpommern,0,1,9,10,6,1,0,0,1,0,0
LK Nordwestmecklenburg,0,0,1,5,5,0,2,2,1,1,0
LK Northeim,0,0,0,1,1,4,1,1,1,0,0
LK Nürnberger Land,0,0,0,0,1,0,1,1,2,0,0
LK Oberallgäu,1,0,0,3,1,3,1,0,0,0,0
LK Oberbergischer Kreis,0,0,0,0,0,0,0,1,1,0,0
LK Oberspreewald-Lausitz,0,0,1,0,0,0,0,0,0,0,0
LK Oder-Spree,0,0,0,1,0,0,0,0,0,0,0
LK Offenbach,0,0,1,1,1,0,0,0,1,0,0
LK Oldenburg,0,0,0,2,0,0,0,0,0,0,0
LK Olpe,0,0,1,0,0,0,0,0,0,0,0
LK Ortenaukreis,0,0,0,1,1,0,1,0,0,0,0
LK Osnabrück,0,0,2,2,2,1,0,1,0,2,0
LK Ostalbkreis,0,0,0,0,1,0,1,1,0,1,0
LK Ostallgäu,0,0,0,0,0,0,1,1,2,0,0
LK Osterholz,0,0,0,0,1,0,0,0,0,0,0
LK Osterode am Harz,0,0,1,0,1,0,0,0,0,0,0
LK Ostholstein,1,0,26,19,16,2,1,1,2,1,1
LK Ostprignitz-Ruppin,0,0,0,0,0,0,0,0,1,0,0
LK Ostvorpommern,0,0,8,9,2,0,1,0,0,0,0
LK Paderborn,0,0,31,15,7,1,3,7,2,2,0
LK Parchim,0,0,9,19,3,1,2,2,1,0,0
LK Passau,0,0,0,0,0,1,1,2,0,0,0
LK Peine,0,0,2,2,1,3,0,0,0,0,0
LK Pinneberg,0,2,55,62,28,3,2,2,2,1,0
LK Plön,0,0,19,8,8,2,2,0,0,2,1
LK Potsdam-Mittelmark,0,0,0,1,0,0,0,0,0,0,0
LK Prignitz,0,0,0,1,7,1,1,3,0,0,0
LK Rastatt,0,1,0,1,0,0,1,0,1,0,0
LK Ravensburg,0,0,6,3,1,0,0,1,0,1,0
LK Recklinghausen,0,0,0,2,1,0,0,0,0,0,0
LK Rendsburg-Eckernförde,0,1,32,16,11,1,0,0,0,0,0
LK Reutlingen,0,0,0,1,0,0,0,0,0,0,0
LK Rhein-Erft-Kreis,0,0,3,1,4,1,0,0,1,0,0
LK Rhein-Kreis Neuss,0,0,2,2,0,0,0,0,0,0,0
LK Rhein-Lahn-Kreis,0,0,1,0,0,0,0,1,0,0,0
LK Rhein-Neckar-Kreis,0,0,0,1,0,0,0,0,0,0,0
LK Rhein-Sieg-Kreis,0,2,1,2,2,1,0,1,2,1,0
LK Rheingau-Taunus-Kreis,0,0,0,1,1,0,0,0,0,0,0
LK Rheinisch-Bergischer Kreis,0,0,0,0,1,0,0,1,0,0,0
LK Rosenheim,0,0,1,0,1,1,0,0,0,0,0
LK Rotenburg (Wümme),0,0,8,27,6,1,1,0,1,0,0
LK Rottweil,0,0,0,1,0,0,0,0,0,0,0
LK Rügen,0,0,15,7,1,0,0,0,1,0,0
LK Saale-Orla-Kreis,0,0,0,0,0,0,0,1,0,0,0
LK Saalekreis,0,0,1,0,0,0,0,1,0,1,0
LK Saalfeld-Rudolstadt,0,0,0,1,0,0,0,1,1,0,0
LK Saar-Pfalz-Kreis,0,0,0,1,0,0,0,0,0,0,0
LK Sächsische Schweiz-Osterzgebirge,0,0,0,0,1,1,0,0,0,0,0
LK Sankt Wendel,0,0,0,0,0,1,0,0,0,0,0
LK Schaumburg,0,0,0,0,2,1,0,0,0,0,0
LK Schleswig-Flensburg,0,2,56,37,15,6,1,0,0,0,0
LK Schmalkalden-Meiningen,0,0,1,0,0,0,3,0,0,0,1
LK Schwäbisch Hall,0,0,1,0,0,1,0,0,2,0,0
LK Schwalm-Eder-Kreis,0,0,0,0,0,0,0,0,1,0,0
LK Schwarzwald-Baar-Kreis,0,0,2,1,1,0,0,0,2,0,0
LK Segeberg,0,4,29,29,8,2,4,3,1,0,0
LK Siegen-Wittgenstein,0,0,0,1,0,2,0,0,0,0,1
LK Sigmaringen,0,0,3,1,0,0,0,0,0,0,0
LK Soest,0,0,4,1,1,2,1,0,0,1,0
