"","net_i","num_ill","mean","median","low_95","up_95","up_50","low_50"
"1","6","20",0.02595615688,0.019879,0.00607931,0.0872088749999999,0.03050625,0.01292275
"2","6","40",0.0263262508,0.020524,0.0060007425,0.0856277999999999,0.03113775,0.0135035
"3","6","60",0.0266149904,0.0209,0.0060587925,0.0859578749999999,0.0311275,0.0139885
"4","6","80",0.02682210096,0.0210285,0.0064007525,0.0815043999999999,0.0315265,0.013973
"5","6","100",0.02701612416,0.021291,0.0068463025,0.0877144999999998,0.0314465,0.01395275
"6","6","120",0.0270243432,0.021429,0.00668423,0.08420105,0.031155,0.0139425
"7","6","140",0.02710052752,0.0213065,0.0066078925,0.0857810999999998,0.031142,0.01417025
"8","6","160",0.02715069568,0.0216165,0.0067168575,0.08582655,0.03152075,0.0143865
"9","6","180",0.02735273384,0.0218275,0.007047595,0.08808755,0.03163625,0.014188
"10","6","200",0.02732159368,0.0216455,0.00689311,0.08586445,0.0316695,0.0144265
"11","5","20",0.01945652248,0.0105315,0.00273935,0.096420925,0.01978175,0.006562025
"12","5","40",0.01960594264,0.010692,0.0028104,0.096929875,0.019023,0.006860425
"13","5","60",0.01968884104,0.0111285,0.003155245,0.096256625,0.0187625,0.007150525
"14","5","80",0.01968613328,0.0114315,0.002980995,0.096505025,0.0191,0.007361875
"15","5","100",0.01952827992,0.0111145,0.0031864675,0.0972248499999999,0.01872025,0.00733325
"16","5","120",0.0195412308,0.011309,0.003275725,0.0970035249999998,0.018962,0.007416
"17","5","140",0.01956505896,0.0111265,0.0031631325,0.0966487999999999,0.01891175,0.0074075
"18","5","160",0.01952629688,0.01114,0.003255735,0.096633725,0.01885675,0.007435925
"19","5","180",0.01955865648,0.0111275,0.0033992875,0.096472625,0.0189365,0.00754305
"20","5","200",0.01961896968,0.0111235,0.003266275,0.097727925,0.018899,0.007515175
"21","4","20",0.02272750912,0.015996,0.0040165125,0.1229685,0.0230425,0.009788575
"22","4","40",0.02326910488,0.0167055,0.0039265,0.11980825,0.02419975,0.0109425
"23","4","60",0.02384920304,0.0171215,0.0037172725,0.127052,0.024547,0.011469
"24","4","80",0.02389367232,0.0176535,0.0037869575,0.12176875,0.0249955,0.0117815
"25","4","100",0.023975344,0.017819,0.0037275375,0.12264025,0.0247915,0.0118585
"26","4","120",0.02395162744,0.017937,0.00372326,0.12133425,0.0250355,0.01202625
"27","4","140",0.02402546672,0.0178695,0.0038652425,0.12258775,0.02488675,0.0121935
"28","4","160",0.02401753864,0.017771,0.0038283475,0.12319375,0.0247485,0.01218125
"29","4","180",0.02415357616,0.018048,0.0038248025,0.12460975,0.02472575,0.0121395
"30","4","200",0.02413743688,0.0182015,0.00374667,0.12122025,0.024909,0.01223075
"31","3","20",0.03108990488,0.015584,0.0035499575,0.22151975,0.034206,0.0081653
"32","3","40",0.03062715728,0.016333,0.0035971525,0.21965,0.03443925,0.0085465
"33","3","60",0.030983556,0.0167745,0.003643795,0.215171,0.03531725,0.008852425
"34","3","80",0.03133493704,0.01712,0.004004075,0.22011575,0.0357435,0.0092326
"35","3","100",0.03151466512,0.017458,0.0040472375,0.221557,0.03623725,0.009345375
"36","3","120",0.03150609032,0.0172475,0.004198095,0.21968775,0.03700275,0.009448825
"37","3","140",0.03154949408,0.017332,0.004295595,0.21926375,0.0372125,0.009620625
"38","3","160",0.03161155608,0.01737,0.00422748,0.21733775,0.03723775,0.00954415
"39","3","180",0.03163797624,0.017495,0.00446588,0.22045275,0.0368225,0.009627675
"40","3","200",0.03164830008,0.0176,0.0043390425,0.22247675,0.03718725,0.009672375
"41","2","20",0.02744975968,0.014838,0.0044352725,0.1125575,0.02677275,0.008923475
"42","2","40",0.02736946056,0.0151535,0.00450417,0.10935325,0.02732425,0.00974135
"43","2","60",0.0277441268,0.015057,0.0049489975,0.10903775,0.026968,0.0101885
"44","2","80",0.0279913784,0.015128,0.005162075,0.11112875,0.02753175,0.010456
"45","2","100",0.0277901876,0.0152455,0.0052593175,0.1095675,0.02720675,0.010567
"46","2","120",0.02796344648,0.015537,0.0052376375,0.11118575,0.02734475,0.01060125
"47","2","140",0.02798526336,0.015342,0.00504084,0.11044775,0.027249,0.01068025
"48","2","160",0.02801964664,0.015294,0.005286125,0.111012,0.0271525,0.0106165
"49","2","180",0.02821655048,0.015395,0.00539646,0.1121285,0.027185,0.010779
"50","2","200",0.02799657856,0.015328,0.00533412,0.1124495,0.02705725,0.0107795
"51","1","20",0.0169958432,0.010477,0.0029916775,0.0762853749999999,0.01947375,0.0067322
"52","1","40",0.01711103672,0.010957,0.00304924,0.077610125,0.01986625,0.007362225
"53","1","60",0.01758452392,0.011124,0.0033370925,0.0758668249999998,0.0203625,0.007904875
"54","1","80",0.01772762984,0.011161,0.0032555525,0.07759005,0.0205295,0.00784385
"55","1","100",0.01769407256,0.0112105,0.003399045,0.0760135999999999,0.020873,0.00793195
"56","1","120",0.01777237816,0.0112285,0.0034096775,0.0763257,0.0207615,0.008046775
"57","1","140",0.01772344064,0.011125,0.0034829675,0.075483225,0.0207085,0.0080317
"58","1","160",0.01777088272,0.011342,0.0036409525,0.0770187749999999,0.020988,0.008122975
"59","1","180",0.01778583352,0.011215,0.003370565,0.0748811499999999,0.020939,0.00810465
"60","1","200",0.01779425888,0.011063,0.00346406,0.07453635,0.02122225,0.0080531
